team,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
CLE,2016,-10,0.048,0.031,260,12,5405,3693,1712,15,13,1,181,83,14,28,12,2,10,10,2,6,0,26,553,350,0.64,0.35,0.53,0.46
DAL,2016,10,0.068,0.05,421,0,6195,3799,2396,25,24,0,191,142,6,25,10,0,9,25,10,17,0,36,477,499,0.5,0.48,0.66,0.33
DEN,2016,5,0.057,0.032,308,6,5398,3914,1484,20,11,4,181,76,11,21,14,2,14,26,13,16,0,42,559,411,0.6,0.39,0.55,0.43
DET,2016,4,0.058,0.035,325,6,5637,4327,1310,24,9,1,217,76,10,9,4,0,10,11,5,8,2,26,584,350,0.64,0.35,0.6,0.39
GB,2016,11,0.07,0.052,433,6,6146,4445,1701,40,11,0,222,91,8,17,8,0,17,16,8,10,0,40,612,376,0.63,0.35,0.62,0.37
HOU,2016,-6,0.052,0.023,272,6,5277,3418,1859,15,9,1,173,102,16,19,8,0,11,16,6,7,1,31,567,456,0.57,0.41,0.58,0.41
IND,2016,1,0.067,0.047,408,18,6119,4491,1628,32,14,1,220,93,15,15,7,1,8,19,9,15,0,33,569,409,0.6,0.38,0.6,0.39
JAX,2016,-12,0.058,0.034,321,18,5556,3925,1631,24,10,1,207,75,16,21,12,1,7,19,7,9,0,33,610,393,0.63,0.37,0.56,0.42
KC,2016,15,0.061,0.037,344,6,5662,3914,1748,19,16,5,197,86,8,21,10,0,18,24,14,15,1,28,538,412,0.58,0.4,0.59,0.4
LA,2016,-6,0.049,0.026,224,36,4565,3313,1252,14,9,1,151,68,20,25,9,0,10,18,8,13,0,31,516,376,0.61,0.38,0.59,0.39
LAC,2016,-5,0.066,0.046,388,24,5896,4386,1510,33,11,5,214,90,21,25,14,1,18,15,10,12,1,35,559,398,0.61,0.39,0.6,0.39
LV,2016,20,0.069,0.046,416,0,6059,4137,1922,29,18,1,198,98,7,19,9,0,16,25,12,20,0,25,589,434,0.59,0.39,0.57,0.42
MIA,2016,12,0.062,0.048,344,6,5540,3716,1824,27,15,1,167,90,15,21,6,0,16,27,11,17,0,33,462,405,0.55,0.44,0.57,0.41
MIN,2016,14,0.054,0.031,289,0,5324,4119,1205,20,10,4,209,66,5,18,10,0,14,24,13,15,1,41,583,382,0.62,0.36,0.59,0.4
NE,2016,20,0.069,0.05,435,0,6328,4456,1872,32,19,0,203,109,2,24,8,0,13,29,11,17,3,34,548,482,0.54,0.44,0.63,0.36
NO,2016,-3,0.068,0.053,477,24,7000,5258,1742,38,18,0,265,105,15,15,8,0,9,19,13,11,1,30,659,407,0.63,0.36,0.6,0.38
NYG,2016,5,0.053,0.033,287,6,5439,4027,1412,26,6,3,190,73,16,20,10,1,17,23,9,14,0,35,582,399,0.61,0.37,0.62,0.37
NYJ,2016,-14,0.051,0.03,279,24,5439,3645,1794,16,12,0,166,97,25,22,9,0,8,22,5,12,0,27,525,419,0.58,0.41,0.57,0.4
PHI,2016,9,0.063,0.034,353,0,5611,3798,1813,16,19,3,192,114,14,27,7,0,16,21,9,14,1,34,595,441,0.59,0.4,0.6,0.38
PIT,2016,8,0.065,0.047,397,0,6137,4377,1760,33,14,1,210,97,15,16,5,0,13,21,8,15,1,38,581,409,0.6,0.38,0.63,0.36
SEA,2016,8,0.058,0.038,346,0,6013,4422,1591,23,13,1,203,85,12,23,6,1,11,18,8,15,1,42,555,403,0.6,0.38,0.57,0.42
SF,2016,2,0.059,0.038,308,6,5185,3166,2019,21,15,0,152,116,10,31,13,2,10,23,12,15,1,33,481,460,0.54,0.45,0.5,0.48
TB,2016,5,0.057,0.036,330,12,5781,4165,1616,29,8,4,220,80,18,18,11,2,17,22,10,17,1,38,560,454,0.58,0.41,0.58,0.41
TEN,2016,-3,0.067,0.049,393,36,5907,3720,2187,29,18,1,175,115,11,18,9,1,12,11,4,5,0,40,493,476,0.53,0.46,0.65,0.33
WAS,2016,7,0.059,0.043,393,18,6644,4948,1696,25,17,0,226,89,12,20,9,0,13,21,8,15,0,38,595,381,0.62,0.36,0.6,0.4
ARI,2017,7,0.053,0.027,287,24,5365,3979,1386,21,6,2,200,66,18,19,7,1,15,20,6,17,0,37,580,409,0.61,0.37,0.59,0.4
ATL,2017,3,0.057,0.036,343,12,5993,4146,1847,21,13,2,200,101,12,16,7,0,8,20,7,14,0,39,518,431,0.56,0.43,0.59,0.39
BAL,2017,21,0.071,0.035,361,12,5091,3235,1856,20,16,5,168,111,13,18,4,0,22,22,12,16,0,41,554,461,0.56,0.42,0.58,0.41
BUF,2017,16,0.056,0.029,286,12,5082,3065,2017,16,12,3,148,105,10,18,7,0,18,23,6,15,0,27,465,488,0.52,0.47,0.56,0.42
CAR,2017,4,0.065,0.039,353,12,5421,3319,2102,22,16,1,167,121,16,20,5,0,10,18,12,15,0,50,485,491,0.52,0.46,0.63,0.36
CHI,2017,-1,0.049,0.031,240,12,4873,3085,1788,13,14,3,144,93,12,26,11,1,8,17,13,14,1,42,461,423,0.55,0.45,0.57,0.41
CIN,2017,-5,0.059,0.037,279,6,4752,3386,1366,25,7,3,165,72,12,16,9,0,11,13,5,5,0,41,498,377,0.59,0.39,0.55,0.44
CLE,2017,-16,0.045,0.029,238,24,5251,3537,1714,15,12,1,157,97,28,18,11,1,7,27,8,16,0,34,546,385,0.62,0.38,0.54,0.44
DAL,2017,6,0.063,0.042,347,30,5496,3326,2170,22,18,1,162,127,13,12,8,0,10,22,9,17,0,38,480,480,0.52,0.47,0.6,0.39
DEN,2017,-13,0.05,0.028,275,24,5520,3668,1852,19,9,4,180,92,22,19,10,1,10,20,9,9,1,33,544,457,0.57,0.42,0.55,0.43
DET,2017,10,0.066,0.042,373,30,5691,4470,1221,29,10,5,210,58,11,20,12,0,19,21,12,14,0,35,559,364,0.63,0.36,0.58,0.4
GB,2017,-2,0.059,0.041,310,12,5256,3532,1724,25,13,2,176,99,18,14,6,0,11,17,10,11,0,37,544,386,0.61,0.38,0.54,0.44
HOU,2017,-6,0.059,0.039,321,18,5486,3644,1842,28,9,4,180,86,17,23,12,1,11,16,4,12,1,32,508,449,0.56,0.43,0.55,0.43
IND,2017,8,0.053,0.026,259,36,4887,3226,1661,13,11,1,148,94,9,24,8,1,13,19,5,12,2,25,478,451,0.54,0.44,0.53,0.46
JAX,2017,15,0.063,0.038,374,6,5978,3716,2262,21,19,7,193,101,13,24,10,0,21,25,12,17,0,55,514,528,0.51,0.47,0.56,0.42
KC,2017,14,0.063,0.04,392,6,6197,4326,1871,26,12,3,198,95,8,15,5,1,16,17,8,11,0,31,535,406,0.59,0.4,0.57,0.41
LA,2017,18,0.075,0.048,446,12,5976,4023,1953,28,18,3,185,97,7,23,12,0,18,29,12,19,2,48,511,454,0.54,0.44,0.59,0.4
LAC,2017,16,0.054,0.039,332,6,6146,4551,1595,28,11,3,220,84,11,18,4,1,18,20,9,13,1,43,572,419,0.59,0.39,0.57,0.43
LV,2017,-10,0.057,0.039,304,18,5315,3761,1554,23,13,0,178,78,14,30,15,0,5,22,8,14,0,31,544,370,0.61,0.38,0.56,0.42
MIA,2017,-14,0.051,0.03,263,24,5180,3792,1388,24,4,3,187,66,21,25,8,1,9,17,6,6,1,30,581,361,0.64,0.35,0.56,0.42
MIN,2017,5,0.065,0.04,380,0,5886,3929,1957,25,16,1,196,100,8,13,7,1,14,13,4,6,1,37,519,502,0.53,0.45,0.62,0.37
NE,2017,9,0.07,0.048,457,18,6508,4619,1889,32,17,0,232,107,8,15,5,1,12,17,5,10,1,42,579,448,0.58,0.4,0.61,0.37
NO,2017,20,0.067,0.049,431,6,6404,4334,2070,23,25,4,201,111,8,17,9,0,20,22,6,17,0,42,528,445,0.55,0.42,0.6,0.4
NYG,2017,2,0.046,0.027,239,6,5229,3680,1549,20,7,2,178,66,14,24,8,0,13,15,6,11,1,27,594,395,0.62,0.37,0.56,0.42
NYJ,2017,-3,0.059,0.036,306,12,5203,3501,1702,19,14,0,157,77,12,23,10,1,11,21,11,8,0,28,498,428,0.56,0.42,0.56,0.44
PHI,2017,14,0.072,0.047,435,12,6082,3967,2115,38,11,5,193,108,9,24,10,0,19,19,12,14,0,38,555,477,0.56,0.42,0.66,0.34
PIT,2017,8,0.064,0.041,400,12,6209,4542,1667,29,13,0,218,96,15,16,4,0,16,18,7,11,1,56,576,438,0.58,0.39,0.59,0.4
SEA,2017,9,0.061,0.041,339,6,5591,3979,1612,34,5,4,183,85,12,20,6,2,14,20,10,13,2,39,543,409,0.59,0.39,0.57,0.42
SF,2017,2,0.056,0.031,332,6,5897,4235,1662,15,16,1,206,88,15,18,8,0,10,21,10,15,0,30,592,408,0.61,0.38,0.54,0.44
TB,2017,-2,0.053,0.036,319,12,6057,4607,1450,26,9,3,243,76,14,31,16,0,13,20,10,15,0,22,591,392,0.62,0.37,0.56,0.42
TEN,2017,-1,0.064,0.035,332,24,5227,3394,1833,14,18,1,157,97,17,13,8,0,12,20,9,12,0,43,479,443,0.54,0.44,0.62,0.37
WAS,2017,7,0.061,0.041,340,24,5541,4093,1448,27,11,2,191,66,13,24,11,1,16,25,10,15,0,43,527,401,0.59,0.4,0.55,0.44
ARI,2018,-8,0.05,0.029,211,24,4226,2884,1342,15,9,2,137,76,18,26,10,1,7,17,9,13,0,49,477,356,0.61,0.38,0.52,0.47
ATL,2018,4,0.062,0.049,405,18,6522,4949,1573,36,11,2,238,84,7,27,12,0,15,17,3,8,0,37,610,351,0.65,0.34,0.6,0.38
BAL,2018,3,0.06,0.034,366,6,6144,3708,2436,18,19,3,184,153,9,22,10,0,12,17,6,10,0,43,547,549,0.52,0.46,0.64,0.35
BUF,2018,6,0.054,0.031,272,30,5036,3052,1984,13,16,0,136,108,23,23,7,0,16,29,13,20,1,36,475,468,0.54,0.45,0.55,0.44
CAR,2018,5,0.06,0.047,370,12,6207,4071,2136,28,17,0,212,117,16,20,6,0,13,22,10,14,0,35,547,417,0.59,0.4,0.59,0.39
CHI,2018,23,0.069,0.047,390,6,5685,3747,1938,28,17,6,177,108,14,21,10,0,27,23,9,20,1,50,498,468,0.54,0.44,0.66,0.33
CIN,2018,5,0.066,0.046,345,6,5251,3569,1682,27,14,5,182,92,13,10,3,0,12,15,7,9,0,34,529,359,0.62,0.37,0.57,0.41
CLE,2018,11,0.058,0.045,359,12,6154,4261,1893,29,15,0,189,93,17,21,6,1,17,25,15,17,1,37,557,413,0.6,0.39,0.59,0.4
DAL,2018,6,0.057,0.036,334,6,5848,3885,1963,22,13,1,184,113,8,24,9,0,9,20,11,14,0,39,519,440,0.57,0.42,0.59,0.4
DEN,2018,7,0.056,0.039,324,6,5837,3930,1907,19,19,2,181,107,15,23,8,0,17,18,9,13,0,44,573,395,0.61,0.38,0.58,0.4
DET,2018,-5,0.058,0.035,321,18,5504,3844,1660,22,12,2,201,91,12,14,9,0,7,13,5,9,0,43,562,405,0.6,0.39,0.57,0.41
GB,2018,6,0.058,0.04,365,6,6296,4629,1667,25,14,1,208,98,4,15,8,1,7,25,11,11,0,44,636,334,0.67,0.32,0.56,0.42
HOU,2018,18,0.061,0.039,378,0,6186,4165,2021,26,12,4,202,94,9,21,9,0,15,24,12,21,0,43,497,472,0.54,0.44,0.62,0.37
IND,2018,6,0.069,0.05,437,24,6313,4595,1718,39,13,0,237,96,15,19,10,1,15,20,10,16,0,38,629,410,0.62,0.36,0.58,0.41
JAX,2018,-13,0.043,0.023,224,6,5154,3431,1723,15,7,2,164,92,13,30,17,1,11,11,5,6,1,37,523,416,0.59,0.41,0.55,0.43
KC,2018,18,0.077,0.069,537,12,6981,5126,1855,50,16,4,239,108,12,20,7,1,15,26,11,22,0,52,571,388,0.61,0.38,0.62,0.38
LA,2018,13,0.071,0.054,494,6,6961,4730,2231,32,23,4,236,134,12,14,6,1,18,16,13,13,2,41,556,463,0.56,0.41,0.6,0.4
LAC,2018,4,0.068,0.056,422,12,6189,4316,1873,32,18,2,213,100,12,14,5,0,13,19,9,8,0,38,500,400,0.58,0.41,0.59,0.4
LV,2018,-5,0.05,0.031,287,18,5685,4057,1628,19,10,1,197,86,10,22,14,0,14,12,3,5,0,13,546,388,0.6,0.38,0.51,0.47
MIA,2018,7,0.059,0.042,298,18,5047,3309,1738,26,8,3,153,75,13,16,12,0,21,18,5,11,0,31,442,371,0.58,0.41,0.53,0.46
MIN,2018,-1,0.061,0.042,353,30,5788,4298,1490,30,10,3,218,66,10,21,11,0,12,18,7,8,0,50,596,357,0.64,0.35,0.56,0.43
NE,2018,13,0.065,0.046,418,0,6442,4405,2037,29,19,2,206,131,11,12,6,0,18,19,11,12,0,30,563,478,0.55,0.43,0.63,0.36
NO,2018,15,0.08,0.06,499,6,6199,4174,2025,33,26,1,210,134,7,16,9,0,12,24,12,19,0,49,512,475,0.53,0.44,0.63,0.35
NYG,2018,8,0.058,0.039,352,6,6055,4405,1650,23,13,4,208,71,12,17,5,0,16,18,7,9,0,30,571,356,0.64,0.35,0.56,0.41
NYJ,2018,-2,0.062,0.033,312,18,5023,3404,1619,18,12,3,157,84,19,22,10,1,13,21,8,14,0,39,505,409,0.58,0.41,0.59,0.4
PHI,2018,0,0.06,0.041,368,6,6094,4524,1570,29,12,0,221,94,11,26,12,0,10,24,7,13,0,44,588,402,0.61,0.37,0.67,0.32
PIT,2018,-6,0.062,0.051,413,6,6619,5174,1445,35,17,3,251,88,17,19,9,0,8,18,7,12,2,52,672,345,0.67,0.31,0.63,0.36
SEA,2018,19,0.071,0.053,424,12,6001,3448,2553,35,16,2,156,133,7,19,5,0,12,25,13,19,0,43,420,534,0.46,0.51,0.61,0.38
SF,2018,-18,0.055,0.036,338,24,6149,4247,1902,26,8,1,201,98,20,27,11,1,2,25,6,11,1,37,512,425,0.57,0.41,0.56,0.41
TB,2018,-17,0.057,0.049,394,24,6881,5358,1523,36,12,1,265,80,26,24,11,1,9,16,6,11,0,38,599,390,0.63,0.36,0.57,0.4
TEN,2018,6,0.057,0.036,299,6,5278,3255,2023,16,16,2,156,106,12,15,5,0,11,17,7,12,1,39,425,454,0.52,0.47,0.57,0.42
WAS,2018,13,0.056,0.032,284,18,5061,3287,1774,16,13,1,156,96,15,17,5,0,15,25,10,18,0,46,494,414,0.57,0.42,0.58,0.4
ARI,2019,7,0.065,0.043,376,18,5781,3827,1954,20,20,0,174,107,12,10,7,0,7,22,9,19,0,40,539,392,0.6,0.38,0.59,0.4
ATL,2019,7,0.057,0.038,366,18,6410,5049,1361,29,10,3,258,84,15,17,9,0,12,26,9,19,0,28,669,363,0.67,0.32,0.57,0.41
BAL,2019,13,0.075,0.057,499,0,6637,3350,3287,37,22,6,171,188,8,17,7,0,13,21,12,15,1,37,432,600,0.44,0.54,0.63,0.36
BUF,2019,9,0.058,0.037,319,6,5530,3476,2054,21,15,0,162,120,12,25,8,1,14,21,8,15,1,44,501,466,0.54,0.44,0.61,0.38
CAR,2019,-11,0.059,0.04,349,6,5953,4134,1819,17,23,1,230,82,21,25,13,0,14,16,8,9,2,53,612,387,0.64,0.35,0.57,0.41
CHI,2019,3,0.054,0.03,272,0,5031,3573,1458,20,9,1,178,85,12,11,7,1,10,16,9,12,1,32,568,395,0.61,0.38,0.59,0.4
CIN,2019,-7,0.051,0.028,282,30,5511,3994,1517,18,10,0,191,85,16,22,12,0,11,14,7,10,1,31,600,386,0.63,0.36,0.51,0.46
CLE,2019,0,0.059,0.043,344,12,5828,3903,1925,23,16,1,181,92,21,11,6,2,14,20,7,13,0,38,519,395,0.59,0.4,0.54,0.44
DAL,2019,2,0.061,0.046,428,0,7055,4902,2153,30,18,1,229,120,11,19,7,0,7,15,10,13,0,39,586,450,0.58,0.41,0.6,0.39
DEN,2019,3,0.057,0.032,289,6,5063,3401,1662,16,13,1,162,77,10,24,7,0,10,13,6,10,0,40,494,410,0.57,0.42,0.57,0.42
DET,2019,-2,0.057,0.037,331,12,5836,4187,1649,28,8,1,196,82,15,15,8,0,7,20,11,14,0,28,556,407,0.6,0.39,0.58,0.4
GB,2019,19,0.065,0.045,376,0,5812,4017,1795,26,18,0,190,90,4,14,8,0,17,19,9,14,0,41,569,412,0.6,0.38,0.58,0.41
HOU,2019,6,0.06,0.046,367,6,6092,4083,2009,27,17,2,203,112,14,19,7,1,12,17,11,15,0,31,520,434,0.57,0.42,0.6,0.38
IND,2019,7,0.064,0.041,346,18,5444,3314,2130,22,18,1,165,131,10,18,11,0,15,16,8,13,2,41,503,472,0.53,0.45,0.61,0.37
JAX,2019,2,0.051,0.028,290,12,5731,4023,1708,24,3,2,183,85,8,24,14,0,10,18,7,14,0,47,581,390,0.62,0.37,0.56,0.42
KC,2019,15,0.069,0.05,432,6,6259,4690,1569,30,17,3,211,93,5,20,10,0,16,19,7,14,0,45,571,375,0.62,0.37,0.6,0.39
LA,2019,1,0.06,0.041,373,30,6168,4669,1499,22,20,3,222,92,17,19,8,0,13,21,10,13,1,50,615,403,0.62,0.37,0.58,0.41
LAC,2019,-13,0.055,0.038,334,18,6101,4648,1453,24,12,0,220,90,20,17,9,0,11,20,5,5,0,30,577,366,0.63,0.36,0.53,0.45
LV,2019,1,0.051,0.037,304,18,6003,4110,1893,22,13,2,194,104,8,21,9,0,9,14,5,9,0,32,515,437,0.56,0.43,0.58,0.4
MIA,2019,-2,0.057,0.035,300,12,5269,4117,1152,22,11,1,210,64,18,20,7,2,13,20,4,10,1,23,597,349,0.66,0.33,0.54,0.45
MIN,2019,16,0.067,0.048,393,0,5862,3729,2133,26,19,2,171,106,8,25,12,1,17,26,14,19,1,48,458,476,0.51,0.47,0.62,0.38
NE,2019,23,0.065,0.04,380,24,5856,4153,1703,25,17,6,197,110,9,15,8,0,25,22,9,15,1,47,611,449,0.59,0.39,0.61,0.37
NO,2019,16,0.07,0.049,432,0,6169,4431,1738,36,12,3,230,97,6,7,2,0,13,17,10,11,1,51,575,407,0.59,0.38,0.65,0.34
NYG,2019,-15,0.058,0.044,331,24,5755,4070,1685,30,12,2,187,89,17,28,16,1,10,16,6,8,1,36,590,362,0.64,0.35,0.56,0.43
NYJ,2019,-4,0.051,0.028,239,18,4700,3443,1257,19,6,4,162,61,16,25,9,3,12,24,8,9,2,35,505,383,0.6,0.39,0.6,0.38
PHI,2019,6,0.061,0.04,367,0,6002,4063,1939,27,16,3,215,104,8,28,13,0,11,21,11,16,0,43,605,458,0.59,0.4,0.63,0.36
PIT,2019,13,0.057,0.028,267,12,4661,3214,1447,18,7,3,147,75,19,26,11,3,20,35,18,23,0,54,491,395,0.58,0.41,0.55,0.44
SEA,2019,13,0.063,0.047,398,30,6310,4110,2200,31,16,3,190,121,6,27,16,0,16,23,14,19,0,28,511,482,0.54,0.45,0.61,0.37
SF,2019,7,0.071,0.053,452,18,6334,4029,2305,28,23,5,195,110,13,23,12,1,12,23,13,20,0,48,465,498,0.51,0.47,0.58,0.41
TB,2019,-9,0.065,0.047,429,42,6648,5127,1521,33,15,6,244,81,30,24,11,1,12,26,16,20,0,47,600,412,0.62,0.36,0.66,0.32
TEN,2019,9,0.061,0.056,376,0,6179,3956,2223,29,21,3,177,104,8,20,8,0,14,17,10,11,1,43,440,446,0.53,0.45,0.61,0.38
WAS,2019,8,0.056,0.034,269,18,4788,3205,1583,18,10,0,154,74,13,23,8,0,13,21,9,16,0,46,466,357,0.6,0.4,0.54,0.44
ARI,2020,1,0.065,0.047,411,18,6339,4102,2237,27,22,0,211,136,13,24,10,2,11,17,8,13,1,48,562,480,0.55,0.43,0.58,0.41
ATL,2020,11,0.063,0.039,390,0,6152,4620,1532,27,13,1,243,86,11,15,7,0,12,21,9,17,0,29,617,409,0.62,0.37,0.63,0.36
BAL,2020,14,0.075,0.055,448,12,5989,2919,3070,27,25,3,142,166,11,25,8,0,10,28,11,23,2,39,395,556,0.44,0.55,0.62,0.37
BUF,2020,8,0.073,0.056,477,0,6509,4786,1723,40,16,3,240,119,11,19,10,0,15,19,12,14,0,38,585,411,0.6,0.37,0.59,0.4
CAR,2020,-3,0.058,0.038,339,6,5833,4129,1704,16,20,2,192,110,16,16,7,0,7,19,13,13,0,29,534,407,0.59,0.4,0.6,0.38
CHI,2020,1,0.066,0.039,366,12,5572,3925,1647,26,13,1,218,93,16,17,7,0,10,18,7,14,1,35,598,394,0.62,0.37,0.57,0.41
CIN,2020,-1,0.057,0.034,313,12,5461,3793,1668,19,14,0,201,92,11,20,12,0,11,14,7,11,0,17,570,411,0.6,0.39,0.54,0.44
CLE,2020,13,0.065,0.049,393,6,6073,3701,2372,27,21,2,195,133,8,19,8,1,11,24,10,18,2,38,493,496,0.51,0.47,0.6,0.39
DAL,2020,-3,0.061,0.038,386,18,6299,4511,1788,25,15,2,231,115,13,21,14,3,10,19,12,14,0,31,626,434,0.61,0.38,0.52,0.47
DEN,2020,-12,0.057,0.035,320,18,5591,3673,1918,21,13,0,176,94,23,21,10,2,10,17,5,11,0,42,533,442,0.57,0.42,0.58,0.4
DET,2020,4,0.063,0.047,372,18,5896,4397,1499,27,17,0,220,93,13,11,7,0,7,19,6,17,1,24,569,367,0.62,0.36,0.54,0.43
GB,2020,14,0.079,0.068,508,6,6417,4299,2118,48,18,2,216,114,5,11,5,0,11,15,8,13,1,41,521,446,0.55,0.43,0.59,0.41
HOU,2020,-2,0.06,0.049,379,6,6309,4843,1466,33,10,1,222,83,7,18,9,2,3,13,8,11,0,34,539,344,0.63,0.35,0.54,0.44
IND,2020,12,0.067,0.045,417,12,6182,4186,1996,24,21,4,201,129,11,8,4,1,15,17,10,12,3,40,541,462,0.55,0.42,0.6,0.39
JAX,2020,-5,0.053,0.036,288,0,5474,3955,1519,25,9,1,205,80,16,18,9,2,12,13,5,8,0,18,600,338,0.66,0.33,0.52,0.46
KC,2020,13,0.067,0.053,453,0,6792,5005,1787,40,14,2,255,110,7,18,8,1,16,16,7,12,2,32,623,403,0.62,0.36,0.57,0.41
LA,2020,6,0.057,0.038,355,18,6201,4183,2018,20,20,4,206,123,14,14,9,0,14,19,10,15,1,53,576,473,0.56,0.42,0.61,0.38
LAC,2020,2,0.061,0.042,388,0,6332,4548,1784,31,15,2,226,111,10,16,6,1,12,15,7,6,1,27,617,468,0.58,0.4,0.57,0.42
LV,2020,-8,0.069,0.048,437,18,6299,4383,1916,28,20,0,206,121,10,25,17,0,10,9,4,9,0,21,541,457,0.55,0.43,0.58,0.41
